logg	Teff	Z	L/HP	cLSM	dLSM	cPCM	dPCM	chi2	Type	Mod
 3.50	  1700	 0.0	 2.0	  1.2207	 -0.4367	  1.0626	 -0.1402	 0.0779	r	PD
 4.00	  1700	 0.0	 2.0	  1.2170	 -0.4337	  1.0972	 -0.2118	 0.0751	r	PD
 4.50	  1700	 0.0	 2.0	  1.1392	 -0.3361	  1.0382	 -0.1573	 0.0648	r	PD
 5.00	  1700	 0.0	 2.0	  1.1586	 -0.3536	  1.0849	 -0.2227	 0.0765	r	PD
 5.50	  1700	 0.0	 2.0	  1.2638	 -0.4741	  1.2802	 -0.4793	 0.1358	r	PD
 2.50	  1800	 0.0	 2.0	  1.1677	 -0.3684	  0.9250	  0.1054	 0.0761	r	PD
 3.00	  1800	 0.0	 2.0	  1.0696	 -0.2417	  0.8836	  0.1204	 0.0690	r	PD
 3.50	  1800	 0.0	 2.0	  1.0816	 -0.2759	  0.9150	  0.0358	 0.0638	r	PD
 4.00	  1800	 0.0	 2.0	  1.0868	 -0.2855	  0.9663	 -0.0601	 0.0576	r	PD
 4.50	  1800	 0.0	 2.0	  1.1192	 -0.3227	  1.0416	 -0.1748	 0.0575	r	PD
 5.00	  1800	 0.0	 2.0	  1.0803	 -0.2729	  1.0076	 -0.1413	 0.0512	r	PD
 5.50	  1800	 0.0	 2.0	  1.0655	 -0.2487	  1.0164	 -0.1586	 0.0619	r	PD
 2.50	  1900	 0.0	 2.0	  0.9905	 -0.1496	  0.7741	  0.2882	 0.1435	r	PD
 3.00	  1900	 0.0	 2.0	  1.0654	 -0.2357	  0.8553	  0.1583	 0.0869	r	PD
 3.50	  1900	 0.0	 2.0	  1.1054	 -0.3105	  0.9523	 -0.0170	 0.0814	r	PD
 4.00	  1900	 0.0	 2.0	  1.1295	 -0.3486	  1.0492	 -0.1792	 0.0999	r	PD
 4.50	  1900	 0.0	 2.0	  1.0175	 -0.2131	  0.9592	 -0.0914	 0.0723	r	PD
 5.00	  1900	 0.0	 2.0	  1.0092	 -0.1956	  0.9456	 -0.0759	 0.0389	r	PD
 5.50	  1900	 0.0	 2.0	  0.9506	 -0.1204	  0.8895	 -0.0116	 0.0294	r	PD
